"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BW25113_RS19280",3205.64920252358,-1.4598225136005,0.0452935858521955,-32.2302261155535,6.65925125261799e-228,1.41509089118132e-224
"BW25113_RS04685",6143.79392296626,0.961274161445718,0.0304595793879776,31.5590097027122,1.34898378553969e-218,1.43329527213592e-215
"BW25113_RS00570",1594.83649991462,1.95355862903971,0.0642905208745483,30.3864178181374,8.30379612956017e-203,5.88185559177179e-200
"BW25113_RS00070",1956.93771894485,1.64769781258759,0.057276285205921,28.767539770845,5.46613044590204e-182,2.90388179938546e-179
"BW25113_RS13540",823.060759948689,2.19244718238467,0.0910591995684019,24.077162909144,4.33721421114846e-128,1.84331603973809e-125
"BW25113_RS16160",2471.39110489741,-1.17356057476926,0.0504322571662255,-23.2700386758654,8.91793919950767e-120,3.15843679982563e-117
"BW25113_RS22665",398.343875717405,3.20446979046324,0.147380269092161,21.7428683649599,8.06949602318835e-105,2.44966843561075e-102
"BW25113_RS16170",987.843852677231,-1.6786544820206,0.080336923605665,-20.8951800327866,5.9232923955317e-97,1.57337454256311e-94
"BW25113_RS11560",4263.79718259828,-0.693433874263773,0.036996381779444,-18.7432889626266,2.19623177423604e-78,5.18554724472399e-76
"BW25113_RS06470",2081.43025332335,1.00827231106759,0.0539234530359568,18.6982148638602,5.11899557699762e-78,1.08778656011199e-75
"BW25113_RS16165",726.930484795687,-1.63825778543086,0.0926133710932822,-17.6892144848153,5.07783416179718e-70,9.80945235801729e-68
"BW25113_RS16175",484.366051749328,-2.02072189486901,0.11580152746885,-17.4498725451836,3.45001696279976e-68,6.10940503829124e-66
"BW25113_RS02275",819.160534751004,1.47570402504814,0.0851134163963437,17.3380894285373,2.42669979391257e-67,3.96672081697248e-65
"BW25113_RS02445",427.130729624875,1.78649804043668,0.117340823808949,15.224863627559,2.41862410456427e-52,3.67112587299934e-50
"BW25113_RS00575",623.794883674721,1.44486520550915,0.0963890883105865,14.9899250094936,8.54496504994347e-51,1.21053671540866e-48
"BW25113_RS10065",181.176808022538,3.26234416657712,0.218208410918205,14.950588535288,1.5437877168446e-50,2.05034306143424e-48
"BW25113_RS06390",953.146644516401,-1.13587729874081,0.0789980160456252,-14.3785547485748,7.05525027478768e-47,8.8190628434846e-45
"BW25113_RS11700",970.788440685962,-1.05982898307771,0.0780317577269699,-13.5820211404953,5.11939954195957e-42,6.04373557036894e-40
"BW25113_RS13945",345.343284707795,1.7884377744094,0.132102800228516,13.5382275872707,9.30059670878996e-42,1.04019831611467e-39
"BW25113_RS10445",134.668113557403,3.70661045030691,0.277437353262936,13.3601708879988,1.0332666491414e-40,1.09784581471274e-38
"BW25113_RS05605",146.378689548935,3.14957228878154,0.237759612157578,13.2468767937514,4.70374260727099e-40,4.75973954307183e-38
"BW25113_RS17215",1133.36262849926,0.93059883568445,0.0707178998601533,13.1593109739505,1.50451619812083e-39,1.45322587318489e-37
"BW25113_RS20370",500.559575313217,-1.4171228223909,0.107848046290426,-13.1399953094626,1.94238784420858e-39,1.79459746475793e-37
"BW25113_RS20395",382.554764407016,1.58706931677883,0.121415990875254,13.0713368588279,4.80142304125064e-39,4.25125998444067e-37
"BW25113_RS15355",839.106855522217,-1.04496619914096,0.0826040790276445,-12.6502977993527,1.11451568035356e-36,9.47338328300523e-35
"BW25113_RS17195",1404.0054301029,0.799005566204752,0.0635478223859074,12.5732957669678,2.96117170650777e-36,2.4201884139727e-34
"BW25113_RS19285",294.310332186138,-1.80090801114854,0.143649599512007,-12.5368119177945,4.69506466830081e-36,3.69518978523675e-34
"BW25113_RS17180",1102.00101611624,0.898446148966635,0.0722123606449657,12.4417224550223,1.55122291232622e-35,1.177267388819e-33
"BW25113_RS11710",310.885927737136,-1.69257126928316,0.137510438988422,-12.3086747575991,8.13479465988821e-35,5.96084091457326e-33
"BW25113_RS20690",1521.92316309032,0.742963904259645,0.0611182402530192,12.1561730374418,5.31927450385386e-34,3.76781944022982e-32
"BW25113_RS17210",1347.34135459676,0.791608458460864,0.0655882982197586,12.0693550518496,1.53331273330958e-33,1.05106114783318e-31
"BW25113_RS11715",289.34057710188,-1.73743524423273,0.144960608397801,-11.9855681031971,4.22934896117026e-33,2.80855204452713e-31
"BW25113_RS05770",201.98044439565,1.98128652816165,0.171358683770695,11.5622184097359,6.40328545056897e-31,4.12332775226032e-29
"BW25113_RS11695",877.645872333117,-0.91900283741553,0.0822403471271825,-11.1745982296782,5.4295511514325e-29,3.39346946964532e-27
"BW25113_RS16720",179.352520426066,-2.14289355699774,0.193175878730206,-11.092966529173,1.35711225648482e-28,8.23961012865782e-27
"BW25113_RS03155",249.048009423594,1.64923982712419,0.149482964881532,11.0329617052434,2.64991893318763e-28,1.56418825917326e-26
"BW25113_RS17110",1980.43463585397,0.612065874919297,0.0557252900991742,10.9836283279998,4.58145125303349e-28,2.63123889532329e-26
"BW25113_RS17205",943.134093979801,0.838590127639659,0.0768373091468678,10.9138403849719,9.89844214615615e-28,5.53531304225837e-26
"BW25113_RS14070",594.066580639761,-1.04406523637684,0.0966035747199209,-10.8077287968262,3.16406812368585e-27,1.72401147764934e-25
"BW25113_RS16150",673.675714115677,-0.985668810121361,0.0918993844520623,-10.7255213514027,7.72501963506429e-27,4.10391668112791e-25
"BW25113_RS19520",10177.2463983549,-0.252095311883264,0.0235492535823985,-10.70502345228,9.64062501067993e-27,4.99666540187679e-25
"BW25113_RS06395",732.988969713845,-0.958833117378953,0.0910362736154631,-10.5324293196475,6.12334494334773e-26,3.0981209534795e-24
"BW25113_RS17000",7045.47383315892,-0.305954548756828,0.0291664467750934,-10.4899493282842,9.60799052716947e-26,4.74813485354305e-24
"BW25113_RS21590",1182.09587502985,-0.704344669661849,0.0691526195857124,-10.1853649779505,2.30493331395168e-24,1.11317802094257e-22
"BW25113_RS13535",12159.2726835259,-0.209163614248886,0.0205855897224982,-10.1606811885641,2.9699411198475e-24,1.40247219548354e-22
"BW25113_RS21675",473.014798008299,1.07066189143901,0.105615103329892,10.137393778755,3.77024103567013e-24,1.74168743495631e-22
"BW25113_RS15200",1052.49588486799,0.757058802021868,0.0778309662980727,9.72696136294295,2.31402144368643e-22,1.04623309953908e-20
"BW25113_RS16785",179.775692594125,4.26140812895941,0.440721258589569,9.6691685411253,4.07676669028682e-22,1.80481858684573e-20
"BW25113_RS13420",307.49952523866,-1.31809118929808,0.136894120584722,-9.62854491973839,6.05812270401164e-22,2.62724709102546e-20
"BW25113_RS17185",656.473940452601,0.872516618311777,0.0906795992080214,9.62197259286735,6.45806109200344e-22,2.69630608254269e-20
"BW25113_RS21525",780.949325940706,0.798661641907967,0.0830057348113239,9.62176461329286,6.47113459810247e-22,2.69630608254269e-20
"BW25113_RS09310",1953.83415314652,0.52019847329317,0.0542967153337288,9.58066192578735,9.64249516972365e-22,3.88854605636873e-20
"BW25113_RS14080",685.972001952773,-0.878215731889734,0.0916711768341236,-9.58006390033414,9.69849134059025e-22,3.88854605636873e-20
"BW25113_RS02270",519.781787024498,0.959320329668887,0.10191966603741,9.41251445345953,4.84407403195478e-21,1.90623283664887e-19
"BW25113_RS17635",774.673783382634,-0.787863723164764,0.0840389597406796,-9.37498186074516,6.91876654365624e-21,2.67315980095809e-19
"BW25113_RS05615",90.5725937817941,2.6069792935186,0.279389473147467,9.3309861110715,1.04890422512388e-20,3.9802169256933e-19
"BW25113_RS20685",1876.72460488449,0.54618466850188,0.05915137444081,9.23367670937927,2.6149819746563e-20,9.74883630902567e-19
"BW25113_RS19530",62091.3820134575,0.0742409671042584,0.00809247348390369,9.17407604138923,4.55463518750717e-20,1.66872409887116e-18
"BW25113_RS17170",331.751559723724,1.15454950415,0.125949793852912,9.16674389716198,4.87522265075297e-20,1.75590646319493e-18
"BW25113_RS00075",233.797748255602,1.39729889343797,0.155503782124135,8.98562642240134,2.57264560721413e-19,9.11145319221672e-18
"BW25113_RS17200",658.591029240388,0.833006185418364,0.0936610187778835,8.8938407492004,5.90322785150023e-19,2.0564523253177e-17
"BW25113_RS16475",972.057354688301,0.691881371142286,0.0778331593867479,8.8892880180332,6.15017184015699e-19,2.10792180005381e-17
"BW25113_RS17165",343.941873667883,1.0761343494662,0.125831517833142,8.55218444470485,1.20780567935198e-17,4.07394772797296e-16
"BW25113_RS17175",581.485864943268,0.819861032624587,0.0968281602118398,8.46717556990552,2.51414983796496e-17,8.34776313386802e-16
"BW25113_RS16200",66.2030678493348,-3.14485324575035,0.372271233812968,-8.44774712657587,2.96977758339546e-17,9.70888825340823e-16
"BW25113_RS05610",71.9464074771113,2.66306278397561,0.316115721108862,8.42432883323294,3.62823978105154e-17,1.16818326283856e-15
"BW25113_RS13525",4766.22048304235,0.305700839742612,0.0365523312348702,8.36337463069878,6.09492887061983e-17,1.93309311195032e-15
"BW25113_RS16155",443.837808200629,-0.913162800642762,0.110204965162947,-8.28604046371756,1.17080965189431e-16,3.65878016216971e-15
"BW25113_RS05600",57.0911380153922,3.17307202597475,0.385822303557572,8.22417987948502,1.96530955559555e-16,6.05258377629064e-15
"BW25113_RS19980",7014.44840566627,-0.231254853659731,0.02816070545655,-8.2119694769913,2.17589594797443e-16,6.6053984134938e-15
"BW25113_RS03500",293.793898183047,-1.10183712413784,0.136363641104674,-8.08013862941705,6.46931880126996e-16,1.93623978207023e-14
"BW25113_RS21505",2453.46214760256,-0.419233222441134,0.0519555776752447,-8.06907056373441,7.08353200289353e-16,2.09062576474288e-14
"BW25113_RS11705",192.418600038171,-1.37457931098042,0.170954861142128,-8.04059797888765,8.9401113821897e-16,2.60242968317166e-14
"BW25113_RS21825",727.644065923982,0.670723125758291,0.0853790307046361,7.85582970692909,3.97134344153114e-15,1.1404195693586e-13
"BW25113_RS20940",495.495730112748,0.819136487925075,0.104667920827228,7.82605101401789,5.0343312249215e-15,1.42639384706109e-13
"BW25113_RS05635",82.5161199306543,2.13787181147883,0.273892524222506,7.80551355882229,5.92597322902476e-15,1.65693330416811e-13
"BW25113_RS03260",154.157103166919,1.48479931691649,0.191587473015717,7.7499812150802,9.19061435793514e-15,2.53637084553405e-13
"BW25113_RS00565",111.535912793091,1.80064788517223,0.232570426970415,7.74237683022911,9.75752829882065e-15,2.64066853445719e-13
"BW25113_RS15095",496.520415389706,-0.800484004533716,0.103400284581125,-7.74160349535283,9.81707361045262e-15,2.64066853445719e-13
"BW25113_RS17100",1019.37911243155,0.577139352777868,0.0746292279132412,7.73342253317708,1.04693087556972e-14,2.78091013823207e-13
"BW25113_RS17085",1632.45397972165,0.455443674379835,0.058906567045147,7.73162819063578,1.0617968095111e-14,2.78557804964332e-13
"BW25113_RS17135",1475.21290820538,0.479018434220837,0.0622690892592131,7.69271624042524,1.44043742774373e-14,3.73284089506758e-13
"BW25113_RS09520",450.505144278126,-0.83267595031414,0.108311045155909,-7.6878212108058,1.49661748191264e-14,3.83170138441489e-13
"BW25113_RS09510",623.860545364607,-0.725179927397542,0.0948872859025811,-7.64254052057164,2.12976944794709e-14,5.38780961534235e-13
"BW25113_RS16715",92.8736030383046,-2.00100648257463,0.263197145054829,-7.60269068328144,2.90036158826286e-14,7.25090397065715e-13
"BW25113_RS02265",293.772698940595,1.00163081801675,0.132586057281323,7.55457126152768,4.20241829972473e-14,1.03838824266454e-12
"BW25113_RS00810",203.284605322954,-1.24571575846307,0.165771197214787,-7.51466949260805,5.70548874298268e-14,1.39358202055612e-12
"BW25113_RS25515",309.211956953529,0.970716720382476,0.12952651585206,7.4943475009487,6.66289841373204e-14,1.60893853740688e-12
"BW25113_RS22655",82.3468092920709,2.03085768707917,0.271291398241793,7.4858904493136,7.10636551819645e-14,1.69674457597387e-12
"BW25113_RS21585",511.25747999004,-0.764770436312435,0.102351722841902,-7.47198400845427,7.89946100662131e-14,1.86515051545225e-12
"BW25113_RS17190",421.613798398309,0.859933487192708,0.115489368019545,7.44599699469456,9.62149961938339e-14,2.24677875727359e-12
"BW25113_RS16425",2055.61086024629,0.610267606990439,0.0828816843995307,7.3631178156159,1.79663669132555e-13,4.14984018376827e-12
"BW25113_RS05220",121.836201943856,-1.60474639164862,0.219448912747594,-7.31261946826943,2.61984167808704e-13,5.98619738272576e-12
"BW25113_RS14065",257.828813933034,-1.03704746747232,0.143452501648646,-7.22920447921033,4.8583146513043e-13,1.09828921638528e-11
"BW25113_RS17310",3369.47205793684,0.301351364070065,0.0417244551099668,7.22241580569092,5.10720256565065e-13,1.14240057389554e-11
"BW25113_RS13940",139.645242632435,1.43904339753854,0.199538691615321,7.21185142535058,5.51961817292788e-13,1.22179048098664e-11
"BW25113_RS09515",509.251003138102,-0.730035266474697,0.102280361569939,-7.13758980970652,9.4981564150611e-13,2.08078168886648e-11
"BW25113_RS16205",52.9544352585868,-2.84700168964385,0.398994544743107,-7.13544013860365,9.64779400997534e-13,2.0919961501222e-11
"BW25113_RS05640",60.0375121046648,2.31763908272551,0.330257606269762,7.01767056602599,2.25597679804854e-12,4.84237444025571e-11
